"x","y","era_grupo","region"
-3.09108674438864,0.00738748320359084,"Pre-1990","noa"
-3.11249844370635,-0.0282586859558185,"Pre-1990","noa"
-3.13141999948537,-0.0640258793855923,"Pre-1990","noa"
-3.14783255030741,-0.0998784435694693,"Pre-1990","noa"
-3.16171973578486,-0.135780639891761,"Pre-1990","noa"
-3.17306771286924,-0.171696680262384,"Pre-1990","noa"
-3.18186516965019,-0.207590762791208,"Pre-1990","noa"
-3.18810333663148,-0.243427107476156,"Pre-1990","noa"
-3.19177599547258,-0.279169991869491,"Pre-1990","noa"
-3.19287948518729,-0.314783786686725,"Pre-1990","noa"
-3.19141270579308,-0.350232991322667,"Pre-1990","noa"
-2.96340920120579,-0.254824815064316,"Pre-1990","nea"
-2.96043370495558,-0.293117163383044,"Pre-1990","nea"
-2.95496345610589,-0.331258881781972,"Pre-1990","nea"
-2.94700390751974,-0.369211949766707,"Pre-1990","nea"
-2.93656299344825,-0.406938534893693,"Pre-1990","nea"
-2.92365112162164,-0.444401030482409,"Pre-1990","nea"
-2.90828116287456,-0.481562093102532,"Pre-1990","nea"
-2.89046843831613,-0.518384679798675,"Pre-1990","nea"
-2.87023070405759,-0.554832085015617,"Pre-1990","nea"
-2.84758813351256,-0.590867977187189,"Pre-1990","nea"
-2.8225632972878,-0.626456434952381,"Pre-1990","nea"
-2.79518114068427,-0.661561982962526,"Pre-1990","nea"
-2.76546895883118,-0.696149627243905,"Pre-1990","nea"
-2.73345636947757,-0.730184890080497,"Pre-1990","nea"
-2.69917528346871,-0.763633844382121,"Pre-1990","nea"
-2.66265987293667,-0.796463147503691,"Pre-1990","nea"
-2.62394653723678,-0.828640074481897,"Pre-1990","nea"
-2.58307386666399,-0.860132550656154,"Pre-1990","nea"
-2.54008260398522,-0.890909183641323,"Pre-1990","nea"
-2.49501560382607,-0.920939294620326,"Pre-1990","nea"
-2.4479177899524,-0.950192948925454,"Pre-1990","nea"
-2.39883611048933,-0.978640985877898,"Pre-1990","nea"
-2.34781949112238,-1.00625504785575,"Pre-1990","nea"
-2.29491878632721,-1.03300760856148,"Pre-1990","nea"
-2.24018672867684,-1.05887200046077,"Pre-1990","nea"
-2.18367787627662,-1.0838224413653,"Pre-1990","nea"
-2.12544855837956,-1.10783406013295,"Pre-1990","nea"
-2.0655568192361,-1.13088292145994,"Pre-1990","nea"
-2.00406236023431,-1.15294604974004,"Pre-1990","nea"
-1.94102648038829,-1.17400145196717,"Pre-1990","nea"
-1.87651201523395,-1.19402813965846,"Pre-1990","nea"
-1.81058327419319,-1.21300614977611,"Pre-1990","nea"
-1.74330597646888,-1.23091656462689,"Pre-1990","nea"
-1.67474718553452,-1.24774153071978,"Pre-1990","nea"
-1.6049752422839,-1.26346427656267,"Pre-1990","nea"
-1.53405969690743,-1.27806912938057,"Pre-1990","nea"
-1.46207123956298,-1.29154153073857,"Pre-1990","nea"
-1.38908162991042,-1.303868051054,"Pre-1990","nea"
-1.31516362558,-1.31503640298335,"Pre-1990","nea"
-1.24039090964599,-1.32503545367051,"Pre-1990","nea"
-1.16483801717775,-1.33385523584432,"Pre-1990","nea"
-1.0885802609416,-1.34148695775409,"Pre-1990","nea"
-1.01169365632737,-1.34792301193345,"Pre-1990","nea"
-0.934254845574661,-1.35315698278362,"Pre-1990","nea"
-0.856341021374132,-1.35718365296864,"Pre-1990","nea"
-0.778029849920192,-1.35999900861609,"Pre-1990","nea"
-0.699399393491629,-1.36160024331824,"Pre-1990","nea"
-0.62052803263744,-1.3619857609295,"Pre-1990","nea"
-0.541494388045392,-1.36115517715756,"Pre-1990","nea"
-0.46237724217121,-1.35910931994636,"Pre-1990","nea"
-0.383255460706512,-1.35585022865087,"Pre-1990","nea"
-0.304207913963777,-1.35138115200417,"Pre-1990","nea"
-0.225313398256696,-1.34570654487906,"Pre-1990","nea"
-0.146650557354297,-1.33883206384733,"Pre-1990","nea"
-0.0682978040871233,-1.33076456154117,"Pre-1990","nea"
0.00966675781638088,-1.32151207982233,"Pre-1990","nea"
0.0871654115853628,-1.31108384176581,"Pre-1990","nea"
0.164120904876332,-1.29949024246609,"Pre-1990","nea"
0.240456526779975,-1.28674283867509,"Pre-1990","nea"
0.316096184288258,-1.27285433728214,"Pre-1990","nea"
0.39096447814559,-1.25783858264745,"Pre-1990","nea"
0.464986778008447,-1.24171054280182,"Pre-1990","nea"
